"f2","family","trait_id","trait_name","trait_value"
"1013001","10130","14","BW0","1.22"
"1013004","10130","14","BW0","1"
"1013005","10130","14","BW0","1.13"
"1013006","10130","14","BW0","1.15"
"1013007","10130","14","BW0","1.29"
"1013008","10130","14","BW0","1.16"
"1013010","10130","14","BW0","1.04"
"1013011","10130","14","BW0","1.18"
"1013402","10134","14","BW0","1.82"
"1013403","10134","14","BW0","1.5"
"1013405","10134","14","BW0","1.21"
"1013407","10134","14","BW0","1.74"
"1013408","10134","14","BW0","1.35"
"1013409","10134","14","BW0","1.55"
"1013410","10134","14","BW0","1.29"
"1013411","10134","14","BW0","1.7"
"1013412","10134","14","BW0","1.48"
"1013414","10134","14","BW0","1.59"
"1013602","10136","14","BW0","1.47"
"1013604","10136","14","BW0","1.37"
"1013605","10136","14","BW0","1.35"
"1013606","10136","14","BW0","1.22"
"1013609","10136","14","BW0","1.44"
"1013610","10136","14","BW0","1.49"
"1013611","10136","14","BW0","1.38"
"1013612","10136","14","BW0","1.26"
"1013701","10137","14","BW0","1.64"
"1013705","10137","14","BW0","1.37"
"1013707","10137","14","BW0","1.2"
"1013708","10137","14","BW0","1.35"
"1013711","10137","14","BW0","1.26"
"1013713","10137","14","BW0","1.4"
"1013902","10139","14","BW0","0.9"
"1013903","10139","14","BW0","1.16"
"1013904","10139","14","BW0","1.17"
"1013905","10139","14","BW0","1.21"
"1013906","10139","14","BW0","1.1"
"1013912","10139","14","BW0","1.11"
"1015102","10151","14","BW0","0.86"
"1015103","10151","14","BW0","1.3"
"1015104","10151","14","BW0","1.23"
"1015105","10151","14","BW0","1.1"
"1015106","10151","14","BW0","1.07"
"1015107","10151","14","BW0","1.1"
"1015108","10151","14","BW0","1.05"
"1015110","10151","14","BW0","0.91"
"1015203","10152","14","BW0","1.35"
"1015205","10152","14","BW0","1.46"
"1015301","10153","14","BW0","1.48"
"1015302","10153","14","BW0","1.45"
"1015303","10153","14","BW0","1.52"
"1015304","10153","14","BW0","1.25"
"1015901","10159","14","BW0","1.58"
"1015902","10159","14","BW0","1.59"
"1015903","10159","14","BW0","1.96"
"1015904","10159","14","BW0","1.7"
"1015905","10159","14","BW0","1.42"
"1015907","10159","14","BW0","1.36"
"1015909","10159","14","BW0","1.75"
"1015911","10159","14","BW0","1.89"
"1015913","10159","14","BW0","1.33"
"1016102","10161","14","BW0","1.36"
"1016103","10161","14","BW0","1.03"
"1016201","10162","14","BW0","1.45"
"1016202","10162","14","BW0","1.1"
"1016401","10164","14","BW0","1.37"
"1016403","10164","14","BW0","1.28"
"1016408","10164","14","BW0","1.12"
"1016409","10164","14","BW0","1.35"
"1016411","10164","14","BW0","1.2"
"1016412","10164","14","BW0","0.94"
"1016901","10169","14","BW0","1.75"
"1016902","10169","14","BW0","1.86"
"1016903","10169","14","BW0","1.5"
"1016905","10169","14","BW0","1.62"
"1016907","10169","14","BW0","2.01"
"1018903","10189","14","BW0","1.53"
"1018905","10189","14","BW0","0.9"
"1018906","10189","14","BW0","1.11"
"1018910","10189","14","BW0","0.9"
"1019601","10196","14","BW0","1.56"
"1019602","10196","14","BW0","1.47"
"1019604","10196","14","BW0","1.31"
"1019605","10196","14","BW0","1.58"
"1019606","10196","14","BW0","1.5"
"1019607","10196","14","BW0","1.35"
"1019608","10196","14","BW0","0.68"
"1019609","10196","14","BW0","1.15"
"1020402","10204","14","BW0","1.17"
"1020403","10204","14","BW0","1.43"
"1020405","10204","14","BW0","1.29"
"1020406","10204","14","BW0","1.34"
"1020407","10204","14","BW0","1.51"
"1020408","10204","14","BW0","1.37"
"1020701","10207","14","BW0","1.46"
"1020702","10207","14","BW0","1.17"
"1020703","10207","14","BW0","1.44"
"1020705","10207","14","BW0","0.91"
"1020707","10207","14","BW0","1.29"
"1020713","10207","14","BW0","1.29"
"1021001","10210","14","BW0","1.37"
"1021002","10210","14","BW0","1.49"
"1021003","10210","14","BW0","1.72"
"1021004","10210","14","BW0","1.56"
"1021006","10210","14","BW0","1.29"
"1021008","10210","14","BW0","1.09"
"1021010","10210","14","BW0","1.18"
"1021012","10210","14","BW0","1.45"
"1021014","10210","14","BW0","1.26"
"1021702","10217","14","BW0","1.51"
"1021703","10217","14","BW0","1.52"
"1021704","10217","14","BW0","1.59"
"1021706","10217","14","BW0","1.42"
"1021707","10217","14","BW0","1.3"
"1021709","10217","14","BW0","1.71"
"1021710","10217","14","BW0","1.53"
"1024003","10240","14","BW0","1.27"
"1024006","10240","14","BW0","1.07"
"1024008","10240","14","BW0","1.65"
"1026302","10263","14","BW0","1.22"
"1026303","10263","14","BW0","1.25"
"1026304","10263","14","BW0","0.9"
"1026305","10263","14","BW0","1.06"
"1026306","10263","14","BW0","1.87"
"1026311","10263","14","BW0","1.02"
"1026701","10267","14","BW0","1.76"
"1026702","10267","14","BW0","1.27"
"1026704","10267","14","BW0","1.5"
"1026705","10267","14","BW0","1.55"
"1026707","10267","14","BW0","1.38"
"1026709","10267","14","BW0","1.86"
"1026710","10267","14","BW0","1.54"
"1026711","10267","14","BW0","1.66"
"1026712","10267","14","BW0","1.3"
"1026802","10268","14","BW0","1.78"
"1026803","10268","14","BW0","1.93"
"1027201","10272","14","BW0","1.85"
"1027202","10272","14","BW0","1.55"
"1027204","10272","14","BW0","1.46"
"1027206","10272","14","BW0","1.46"
"1027208","10272","14","BW0","1.56"
"1027210","10272","14","BW0","1.4"
"1027214","10272","14","BW0","1.53"
"1028202","10282","14","BW0","1.76"
"1028203","10282","14","BW0","1.44"
"1028204","10282","14","BW0","1.79"
"1028207","10282","14","BW0","1.53"
"1028208","10282","14","BW0","1.49"
"1030406","10304","14","BW0","1.46"
"1030601","10306","14","BW0","1.54"
"1030603","10306","14","BW0","1.46"
"1030604","10306","14","BW0","1.41"
"1030607","10306","14","BW0","1.46"
"1030609","10306","14","BW0","1.46"
"1030701","10307","14","BW0","1.63"
"1030702","10307","14","BW0","1.1"
"1030704","10307","14","BW0","1.7"
"1030705","10307","14","BW0","1.32"
"1030706","10307","14","BW0","1.56"
"1030707","10307","14","BW0","2.02"
"1030709","10307","14","BW0","1.53"
"1030711","10307","14","BW0","2.06"
"1030802","10308","14","BW0","1.14"
"1030804","10308","14","BW0","1.3"
"1030805","10308","14","BW0","1.38"
"1030806","10308","14","BW0","1.06"
"1031101","10311","14","BW0","1.44"
"1031102","10311","14","BW0","1.56"
"1031206","10312","14","BW0","1.64"
"1031209","10312","14","BW0","1.42"
"1031303","10313","14","BW0","1.51"
"1031306","10313","14","BW0","1.26"
"1031308","10313","14","BW0","1.67"
"1031312","10313","14","BW0","1.29"
"1031401","10314","14","BW0","1.76"
"1031402","10314","14","BW0","1.63"
"1031406","10314","14","BW0","1.6"
"1031408","10314","14","BW0","1.5"
"1032002","10320","14","BW0","1.33"
"1032003","10320","14","BW0","1.4"
"1032004","10320","14","BW0","1.32"
"1032005","10320","14","BW0","1.33"
"1032006","10320","14","BW0","1.36"
"1032007","10320","14","BW0","1.5"
"1032008","10320","14","BW0","1.49"
"1032701","10327","14","BW0","1.66"
"1032702","10327","14","BW0","1.09"
"1032708","10327","14","BW0","1.39"
"1032709","10327","14","BW0","1.03"
"1032711","10327","14","BW0","1.38"
"1032712","10327","14","BW0","1.36"
"1032714","10327","14","BW0","1.15"
"1035101","10351","14","BW0","1.25"
"1035102","10351","14","BW0","1.06"
"1035105","10351","14","BW0","1.14"
"1035106","10351","14","BW0","1.02"
"1035109","10351","14","BW0","1.12"
"1035112","10351","14","BW0","1.32"
"1035113","10351","14","BW0","1.28"
"1035301","10353","14","BW0","1.49"
"1035302","10353","14","BW0","1.64"
"1035303","10353","14","BW0","1.84"
"1035304","10353","14","BW0","1.51"
"1035305","10353","14","BW0","1.5"
"1035306","10353","14","BW0","1.09"
"1035307","10353","14","BW0","1.63"
"1035309","10353","14","BW0","1.64"
"1035311","10353","14","BW0","1.33"
"1035901","10359","14","BW0","1.32"
"1035902","10359","14","BW0","1.76"
"1035903","10359","14","BW0","1.54"
"1035904","10359","14","BW0","1.7"
"1035905","10359","14","BW0","1.93"
"1035911","10359","14","BW0","1.95"
"1036701","10367","14","BW0","1.2"
"1036702","10367","14","BW0","1.2"
"1036703","10367","14","BW0","1.13"
"1036704","10367","14","BW0","1.31"
"1036705","10367","14","BW0","0.48"
"1036705","10367","14","BW0","1.19"
"1036706","10367","14","BW0","1.31"
"1036707","10367","14","BW0","0.95"
"1036708","10367","14","BW0","1.26"
"1036709","10367","14","BW0","1.03"
"1036710","10367","14","BW0","1.02"
"1036712","10367","14","BW0","1.2"
"1036715","10367","14","BW0","1.23"
"1037103","10371","14","BW0","0.82"
"1037104","10371","14","BW0","1.28"
"1037106","10371","14","BW0","0.96"
"1037109","10371","14","BW0","1.33"
"1037301","10373","14","BW0","1.33"
"1037303","10373","14","BW0","1.76"
"1037305","10373","14","BW0","1.38"
"1037307","10373","14","BW0","1.64"
"1037309","10373","14","BW0","1.49"
"1037311","10373","14","BW0","1.32"
"1037313","10373","14","BW0","1.08"
"1037315","10373","14","BW0","0.78"
"1037317","10373","14","BW0","1.5"
"1038201","10382","14","BW0","1.16"
"1038202","10382","14","BW0","0.99"
"1038203","10382","14","BW0","1.25"
"1038204","10382","14","BW0","1.11"
"1038206","10382","14","BW0","1.42"
"1038208","10382","14","BW0","1.42"
"1038210","10382","14","BW0","1.48"
"1038214","10382","14","BW0","1.38"
"1038216","10382","14","BW0","1.2"
"1038401","10384","14","BW0","1.63"
"1038402","10384","14","BW0","1.38"
"1038404","10384","14","BW0","1.89"
"1038405","10384","14","BW0","1.63"
"1038406","10384","14","BW0","1.29"
"1038407","10384","14","BW0","1.3"
"1038408","10384","14","BW0","1.29"
"1038409","10384","14","BW0","1.56"
"1038411","10384","14","BW0","1.16"
"1038413","10384","14","BW0","1.51"
"1039201","10392","14","BW0","1.1"
"1039202","10392","14","BW0","1.32"
"1039203","10392","14","BW0","1.15"
"1039204","10392","14","BW0","1.02"
"1039205","10392","14","BW0","1.53"
"1039206","10392","14","BW0","1.04"
"1039208","10392","14","BW0","1.32"
"1039210","10392","14","BW0","1.31"
"1039212","10392","14","BW0","1.21"
"915902","9159","18","BW30","3.4"
"915904","9159","18","BW30","5.6"
"915905","9159","18","BW30","6.4"
"915906","9159","18","BW30","5.4"
"915907","9159","18","BW30","5.6"
"915908","9159","18","BW30","7.2"
"915909","9159","18","BW30","6"
"915910","9159","18","BW30","5.8"
"915912","9159","18","BW30","7"
"916101","9161","18","BW30","7.8"
"916102","9161","18","BW30","6.4"
"916103","9161","18","BW30","6.2"
"916104","9161","18","BW30","6"
"916106","9161","18","BW30","7.6"
"916108","9161","18","BW30","7.2"
"916110","9161","18","BW30","7.8"
"916112","9161","18","BW30","6.8"
"916114","9161","18","BW30","8"
"916302","9163","18","BW30","7.8"
"916303","9163","18","BW30","7.4"
"916304","9163","18","BW30","6.8"
"916307","9163","18","BW30","8.8"
"916308","9163","18","BW30","6.8"
"916309","9163","18","BW30","9.2"
"916310","9163","18","BW30","6.4"
"916311","9163","18","BW30","8.4"
"916313","9163","18","BW30","7.8"
"916802","9168","18","BW30","5.8"
"916803","9168","18","BW30","7.4"
"916805","9168","18","BW30","5.6"
"916809","9168","18","BW30","6.2"
"916901","9169","18","BW30","9"
"916902","9169","18","BW30","9.8"
"916904","9169","18","BW30","8"
"916906","9169","18","BW30","8.8"
"917101","9171","18","BW30","5"
"917102","9171","18","BW30","6.8"
"917103","9171","18","BW30","6.2"
"917104","9171","18","BW30","6.2"
"917105","9171","18","BW30","5"
"917107","9171","18","BW30","5"
"917108","9171","18","BW30","7"
"917110","9171","18","BW30","5.2"
"917114","9171","18","BW30","7"
"918601","9186","18","BW30","6"
"918602","9186","18","BW30","4"
"918603","9186","18","BW30","4.6"
"918604","9186","18","BW30","4.2"
"918605","9186","18","BW30","4.8"
"918606","9186","18","BW30","4.2"
"918607","9186","18","BW30","6.2"
"918608","9186","18","BW30","5.6"
"918609","9186","18","BW30","6.2"
"918611","9186","18","BW30","5.2"
"918612","9186","18","BW30","6"
"918701","9187","18","BW30","8.2"
"918703","9187","18","BW30","8.2"
"918704","9187","18","BW30","6.8"
"918706","9187","18","BW30","8.6"
"918707","9187","18","BW30","8.6"
"918708","9187","18","BW30","9.4"
"918801","9188","18","BW30","6.6"
"918803","9188","18","BW30","8.2"
"918804","9188","18","BW30","6"
"918805","9188","18","BW30","8.4"
"918807","9188","18","BW30","7.2"
"919301","9193","18","BW30","6.8"
"919302","9193","18","BW30","8"
"919303","9193","18","BW30","7.4"
"919304","9193","18","BW30","7.2"
"919306","9193","18","BW30","6"
"919307","9193","18","BW30","5"
"919308","9193","18","BW30","6.4"
"919601","9196","18","BW30","6"
"919602","9196","18","BW30","6.2"
"919603","9196","18","BW30","6.4"
"919605","9196","18","BW30","7.4"
"919609","9196","18","BW30","8.2"
"919801","9198","18","BW30","7.2"
"919802","9198","18","BW30","8.8"
"919803","9198","18","BW30","8.6"
"919805","9198","18","BW30","9.2"
"919807","9198","18","BW30","7.8"
"919808","9198","18","BW30","7.2"
"919809","9198","18","BW30","7.6"
"920101","9201","18","BW30","7"
"920102","9201","18","BW30","5.4"
"920103","9201","18","BW30","5.6"
"920104","9201","18","BW30","5.6"
"920105","9201","18","BW30","6.4"
"920105","9201","18","BW30","5"
"920111","9201","18","BW30","5.4"
"920115","9201","18","BW30","7"
"920801","9208","18","BW30","5.8"
"920802","9208","18","BW30","6.6"
"920803","9208","18","BW30","5"
"920805","9208","18","BW30","5.2"
"920806","9208","18","BW30","6.2"
"920807","9208","18","BW30","6.2"
"920810","9208","18","BW30","6.4"
"925902","9259","18","BW30","5.2"
"925903","9259","18","BW30","4.8"
"925904","9259","18","BW30","5.4"
"925905","9259","18","BW30","4.2"
"925906","9259","18","BW30","3"
"925908","9259","18","BW30","4.2"
"925910","9259","18","BW30","3.4"
"925911","9259","18","BW30","6.8"
"925912","9259","18","BW30","5.8"
"925913","9259","18","BW30","7"
"925914","9259","18","BW30","3.8"
"928301","9283","18","BW30","6.6"
"928302","9283","18","BW30","5.6"
"928303","9283","18","BW30","6.2"
"928304","9283","18","BW30","8.2"
"928305","9283","18","BW30","4.8"
"928306","9283","18","BW30","6.2"
"928307","9283","18","BW30","6.6"
"928308","9283","18","BW30","6.6"
"928309","9283","18","BW30","5.2"
"928310","9283","18","BW30","7"
"928316","9283","18","BW30","7.6"
"929203","9292","18","BW30","6"
"929204","9292","18","BW30","6.4"
"929205","9292","18","BW30","7.6"
"929206","9292","18","BW30","4.2"
"929207","9292","18","BW30","5.6"
"929208","9292","18","BW30","7"
"929209","9292","18","BW30","6"
"929210","9292","18","BW30","6.4"
"929212","9292","18","BW30","5"
"929214","9292","18","BW30","5.2"
"929216","9292","18","BW30","4.8"
"929218","9292","18","BW30","6.2"
"929601","9296","18","BW30","7.8"
"929602","9296","18","BW30","7.4"
"929603","9296","18","BW30","7.8"
"929604","9296","18","BW30","6.8"
"929606","9296","18","BW30","8.2"
"929608","9296","18","BW30","8.4"
"929610","9296","18","BW30","8.8"
"929612","9296","18","BW30","8"
"929701","9297","18","BW30","8.8"
"929702","9297","18","BW30","9.6"
"929703","9297","18","BW30","9.4"
"929704","9297","18","BW30","8.4"
"929705","9297","18","BW30","9.8"
"929707","9297","18","BW30","7"
"929708","9297","18","BW30","9.6"
"929801","9298","18","BW30","6"
"929802","9298","18","BW30","6.4"
"929803","9298","18","BW30","6.8"
"929805","9298","18","BW30","7.6"
"929806","9298","18","BW30","7"
"929808","9298","18","BW30","6.4"
"929810","9298","18","BW30","7.4"
"929812","9298","18","BW30","10.2"
"930101","9301","18","BW30","7.6"
"930103","9301","18","BW30","7.4"
